type,name,parent_directory,size_bytes
file,4d9a3810c9041a23c0631236f50343379a7545,.\.git\objects\da,175
file,8e9739a06a751648b83071ad2ab3880fc36a4d,.\.git\objects\da,1017
file,edd6ce27bc89ddaa988ba112422eaee3049e39,.\.git\objects\da,1423
file,14dbe925eb16aab42830bda6138a9e0d39837b,.\.git\objects\db,1521
file,6670f6d491782e758cc73551f517ab8e5389f2,.\.git\objects\dc,178
file,044c2e61ec9abf8afe1f6dff1423edb3951f88,.\.git\objects\dd,626
file,512ba4960b5b27ac49bfbfb01c3479e34a88bb,.\.git\objects\de,4380
file,173eb478ef0d10b443f672d9d696eeff40f6e6,.\.git\objects\df,764
file,607ed2aed2f30afb34ec84448b7cd9f5cf3390,.\.git\objects\e1,1837
file,64be425396cb4c5202718962f0e4e8126a56b4,.\.git\objects\e1,1523
file,4bec9cb4c69af4288ef6fe6ab8a93492506588,.\.git\objects\e3,1288
file,3742d353e1f4a80dff48011b6c3bc01f9e2408,.\.git\objects\e4,764
file,90214422696c15779821e24dcd8fb30c3094ef,.\.git\objects\e6,305
file,a9c5809826f8f316bdac179c77cd147b7b0493,.\.git\objects\e6,2531
file,b6e6e282c9ad906790a40e8f7dd89e4a21b13e,.\.git\objects\e6,1329
file,3273133dec0dd0a0f549faf01dfb9d2e57180a,.\.git\objects\e7,177
file,6c7a4d00d23e6409ddcf6dc46b8305c306f440,.\.git\objects\e9,1041
file,293852dfd35c1490565f36e64269ed2f7b2550,.\.git\objects\eb,333
file,7cfd8b88eff22afcb74ef70838d8f1fffaff3c,.\.git\objects\ec,164
file,bceca5c640f637de9df3463432b128659c2427,.\.git\objects\ec,179
file,d6812a8f6d410d638e775f6e8e793457ac9491,.\.git\objects\ed,128
file,d6f80ba77001ebccb8e2396f98a5446b2c6a53,.\.git\objects\ed,2373
file,1787e9e597da86259b4f2c9b21bebc69505d35,.\.git\objects\ee,164
file,3f4db53f212098bdaeae41f97aa3ce27b109a6,.\.git\objects\ee,315
file,3ff14856f3dc72eea377a05721abacdc71f63c,.\.git\objects\ee,1434
file,1aab25b199043fc064d5e69c7e1007efe227c8,.\.git\objects\ef,332
file,c27c9d0653e1b296ebb13dbcd6c81606b10933,.\.git\objects\ef,752
file,6feab775360dddac7169a016ff4b4f2d360ce8,.\.git\objects\f2,496
file,d529e3015eafd96025423448c0434759e8d7e0,.\.git\objects\f2,166
file,323cf262543e6ad53159214416d74d91cd3bd8,.\.git\objects\f3,793
file,7d4905f3aebc7690270f6c3eda742a3182c26f,.\.git\objects\f7,2234
file,b2aeb6d64268d5d132934c1efdc099ec95c42e,.\.git\objects\f7,279
file,b4fdf32d4887abce0965d0d2c2e88808cd35f4,.\.git\objects\f7,212
file,b14bceb63b9a324012a9fa3ac1e55c622b1b1d,.\.git\objects\f8,1623
file,ee3eedc4f9f35c0954e61f4c49b39bf0e4de8f,.\.git\objects\f8,165
file,3d56be96e7dc491e70b0ccb23209a3bf0cc4a4,.\.git\objects\f9,2512
file,d974c538398e98db406426fcdbfb6bd274bd07,.\.git\objects\f9,228
file,39c586fa5251e6cb8a8cba73f1afca10a78132,.\.git\objects\fa,2021
file,cd1dac702b33094fea43e483c428148b7dc1d5,.\.git\objects\fa,1250
file,bd1863db611ff2cb7897c6e7fbe5c0f57b9e8b,.\.git\objects\fb,1125
file,cceaa5ed705d5655687650806f9084b328c09f,.\.git\objects\fb,1223
file,51fc44bcef9ab376fe85eb12e89bec2d691b1d,.\.git\objects\fd,1634
file,5d138e1b76b4d78236fe98d6fbe8128263a3f4,.\.git\objects\ff,713
file,pack-c23b7190f5f1b5275f01f0f854674a95b2fba559.idx,.\.git\objects\pack,1156
file,pack-c23b7190f5f1b5275f01f0f854674a95b2fba559.pack,.\.git\objects\pack,901
directory,heads,.\.git\refs,41
directory,remotes,.\.git\refs,71
directory,tags,.\.git\refs,0
file,main,.\.git\refs\heads,41
directory,origin,.\.git\refs\remotes,71
file,HEAD,.\.git\refs\remotes\origin,30
file,main,.\.git\refs\remotes\origin,41
file,chess.py,.\Seminar_6_Module,2827
file,guess_the_number.py,.\Seminar_6_Module,1723
file,leap_year.py,.\Seminar_6_Module,1954
file,puzzles.py,.\Seminar_6_Module,4998
file,__init__.py,.\Seminar_6_Module,551
directory,__pycache__,.\Seminar_6_Module,14299
file,chess.cpython-311.pyc,.\Seminar_6_Module\__pycache__,3571
file,guess_the_number.cpython-311.pyc,.\Seminar_6_Module\__pycache__,2462
file,leap_year.cpython-311.pyc,.\Seminar_6_Module\__pycache__,2509
file,puzzles.cpython-311.pyc,.\Seminar_6_Module\__pycache__,5007
file,__init__.cpython-311.pyc,.\Seminar_6_Module\__pycache__,750
file,lnyjlw.rnd,.\Seminar_7_data_4,1193
file,rcwsxkknqjffhqlpdbdyidophqbt.rnd,.\Seminar_7_data_4,2715
file,xzawtxntthn.rnd,.\Seminar_7_data_4,3691
directory,pictures,.\Seminar_7_data_4,14360
directory,texts,.\Seminar_7_data_4,6693
file,eghgwufspoiszrjxphdnzkvle.jpg,.\Seminar_7_data_4\pictures,3614
file,fehvndnmkhpxe.jpg,.\Seminar_7_data_4\pictures,987
file,ojbmocb.jpg,.\Seminar_7_data_4\pictures,3694
file,otjamxitimlvmwltofojnmwkzk.png,.\Seminar_7_data_4\pictures,4005
file,puttiacsmb.png,.\Seminar_7_data_4\pictures,612
file,ytgvrlwmzjhwfan.png,.\Seminar_7_data_4\pictures,1448
file,cchwndiimhnyfmvnkmltijwgtlpsoq.doc,.\Seminar_7_data_4\texts,1193
file,cnjzwtghjjbqrokqjgiavcz.doc,.\Seminar_7_data_4\texts,521
file,hfu_new_001.docx,.\Seminar_7_data_4\texts,2434
file,isz_new_002.docx,.\Seminar_7_data_4\texts,2117
file,tfy_new_003.docx,.\Seminar_7_data_4\texts,428
file,extensions_files.py,.\Seminar_7_Module,3868
file,pseudonyms_file.py,.\Seminar_7_Module,1469
file,pseudonyms_mult_random_numbers_file.py,.\Seminar_7_Module,2393
file,random_numbers_file.py,.\Seminar_7_Module,1020
file,rename_group_files.py,.\Seminar_7_Module,1852
file,sort_directory_files.py,.\Seminar_7_Module,1191
file,__init__.py,.\Seminar_7_Module,157
directory,__pycache__,.\Seminar_7_Module,8894
file,extensions_files.cpython-311.pyc,.\Seminar_7_Module\__pycache__,4074
file,rename_group_files.cpython-311.pyc,.\Seminar_7_Module\__pycache__,2578
file,sort_directory_files.cpython-311.pyc,.\Seminar_7_Module\__pycache__,1854
file,__init__.cpython-311.pyc,.\Seminar_7_Module\__pycache__,388
file,access_users.py,.\Seminar_8_Module,2601
file,csv_to_json.py,.\Seminar_8_Module,1770
file,csv_to_print_pickle.py,.\Seminar_8_Module,914
file,json_to_csv.py,.\Seminar_8_Module,665
file,json_to_pickle.py,.\Seminar_8_Module,889
file,manage_directory.py,.\Seminar_8_Module,2611
file,pickle_to_csv.py,.\Seminar_8_Module,1126
file,text_to_json.py,.\Seminar_8_Module,1049
file,__init__.py,.\Seminar_8_Module,1012
directory,__pycache__,.\Seminar_8_Module,3159
file,text_to_json.cpython-311.pyc,.\Seminar_8_Module\__pycache__,1912
file,__init__.cpython-311.pyc,.\Seminar_8_Module\__pycache__,1247
file,Seminar_5.cpython-311.pyc,.\__pycache__,5325
file,Seminar_6module_Guess.cpython-311.pyc,.\__pycache__,2172
file,Task_5.cpython-311.pyc,.\__pycache__,2906
