type,name,parent_directory,size_bytes
directory,a8,.\.git\objects,1378
directory,a9,.\.git\objects,1379
directory,ab,.\.git\objects,296
directory,ac,.\.git\objects,111
directory,ad,.\.git\objects,1322
directory,ae,.\.git\objects,4696
directory,b0,.\.git\objects,5601
directory,b1,.\.git\objects,74
directory,b3,.\.git\objects,175
directory,b5,.\.git\objects,3733
directory,b7,.\.git\objects,2199
directory,b9,.\.git\objects,3320
directory,ba,.\.git\objects,4500
directory,bb,.\.git\objects,526
directory,bc,.\.git\objects,1082
directory,bd,.\.git\objects,228
directory,be,.\.git\objects,3300
directory,bf,.\.git\objects,884
directory,c0,.\.git\objects,1376
directory,c2,.\.git\objects,201
directory,c3,.\.git\objects,2096
directory,c4,.\.git\objects,2364
directory,c5,.\.git\objects,280
directory,c6,.\.git\objects,3163
directory,c7,.\.git\objects,1776
directory,ca,.\.git\objects,2408
directory,cb,.\.git\objects,1417
directory,ce,.\.git\objects,3160
directory,cf,.\.git\objects,7144
directory,d1,.\.git\objects,1422
directory,d2,.\.git\objects,1155
directory,d4,.\.git\objects,4655
directory,d6,.\.git\objects,864
directory,d7,.\.git\objects,177
directory,d8,.\.git\objects,165
directory,da,.\.git\objects,5088
directory,db,.\.git\objects,1521
directory,dc,.\.git\objects,178
directory,dd,.\.git\objects,626
directory,de,.\.git\objects,4380
directory,df,.\.git\objects,764
directory,e1,.\.git\objects,3360
directory,e3,.\.git\objects,1288
directory,e4,.\.git\objects,764
directory,e6,.\.git\objects,4165
directory,e7,.\.git\objects,177
directory,e9,.\.git\objects,1041
directory,eb,.\.git\objects,333
directory,ec,.\.git\objects,343
directory,ed,.\.git\objects,2501
directory,ee,.\.git\objects,1913
directory,ef,.\.git\objects,1084
directory,f2,.\.git\objects,662
directory,f3,.\.git\objects,793
directory,f7,.\.git\objects,2725
directory,f8,.\.git\objects,1788
directory,f9,.\.git\objects,2740
directory,fa,.\.git\objects,3271
directory,fb,.\.git\objects,2348
directory,fd,.\.git\objects,1634
directory,ff,.\.git\objects,713
directory,info,.\.git\objects,0
directory,pack,.\.git\objects,2057
file,1a00ca13a7948e0965837797849d4a38ff9268,.\.git\objects\00,1911
file,896d6969f392260a2d43bd2e82aecccc6c37af,.\.git\objects\02,141
file,4cf1f2f99d312b89d668e6745a9d93cfc2b8a3,.\.git\objects\04,3213
file,c9d6431cf4b6dd8d25c65348320a5ee116d72d,.\.git\objects\05,165
file,a2d0148087e0864987d66028479d18e31e024a,.\.git\objects\06,1994
file,cf41f62aff355fffd2fa2e67d80805d4556c21,.\.git\objects\06,511
file,1b441ce59e1e47fa6db50b16a6a3136b81dc31,.\.git\objects\09,167
file,7119c0b7f5948483982fc42a9988d5ded6a41a,.\.git\objects\09,1466
file,b9e2026e15042e0241104d8a5b3fc6701f6cd4,.\.git\objects\09,358
file,d7f602f7a1a8965efd018cbf6d4116fe97fc8f,.\.git\objects\09,1550
file,ecc24c5824a7d5373334003882c99c32ed4b8c,.\.git\objects\0a,1144
file,7a68b5717aa2a2748b22e4a975d8d8ff6314f8,.\.git\objects\0c,1355
file,14932d4dc9791985c52c2f58c2f6c8e9c24341,.\.git\objects\0d,530
file,13c1c3ac028968f997e3c920b4d245a746cd4e,.\.git\objects\0e,335
file,17a684b650d68a15d0f34a2cb64a174170139e,.\.git\objects\0e,165
file,3959abff8b5595211574c2bab017967379b8da,.\.git\objects\0e,1237
file,5c36e4c1e5399d490312650ccac198473e0081,.\.git\objects\0e,559
file,688df2a44d95ca246ca64d1d11eea660049ab7,.\.git\objects\0e,2461
file,a404092f4b56e831511010b718642e7ead40c3,.\.git\objects\0e,2673
file,7ba4774fc42b26aae892b7cfcedd295529936c,.\.git\objects\0f,2482
file,17b34fe8b73f48fecca4e71f02691a16886f52,.\.git\objects\10,874
file,1e38be755abcda9b211a3601863f088b579db3,.\.git\objects\10,216
file,f3cf40375d8d6336d09b235fdfe0ccc2762230,.\.git\objects\10,96
file,4a9f9ebba722988bbe2a12ef62d81f6ffccfee,.\.git\objects\11,430
file,e698f1ab5fb271ff7910900bcdaaf6fb6020b8,.\.git\objects\13,3598
file,a9655fda1b773d14e58019fae4a3bd80cd21ec,.\.git\objects\14,1330
file,b93225bc635fbac56d97f996a68f652ff5f99d,.\.git\objects\15,206
file,50530bce26859e8640a3581811102560c30109,.\.git\objects\17,369
file,a31bb7892c1535d30292dd43548c91f7628caf,.\.git\objects\1b,920
file,b08d6b2c7e49006908c2fe53080c17d2399696,.\.git\objects\1b,1327
file,c8209efa23db0f86ec475306cfb9c2f638c5e1,.\.git\objects\1b,2033
file,498a9daf9e5f30fbed0610acc2ec5b595a95e5,.\.git\objects\1c,164
file,267a5387e05a57eb8500897beb96b5ea386ffb,.\.git\objects\1e,227
file,f96bdcd7a6466a2643fb4cf85ab84197785938,.\.git\objects\1e,2481
file,8ec2070167836999aa9f71b67ab87246b04690,.\.git\objects\20,1349
file,7a6f69a4c79c329a5486f5b7c45992c5501b67,.\.git\objects\22,1005
file,e3eebbf56a569552e69a8816ddce36da968d2e,.\.git\objects\22,1997
file,999099a0506c4dafe2319ce4b958eae8a72a2a,.\.git\objects\24,239
file,e90d7d72241ea08ba72d7ba425f5d5198c3c20,.\.git\objects\26,742
file,0a72fcebcc08a501dde4fc85325d7c16482d29,.\.git\objects\27,304
file,f26e91d58ca6aef9f4dfe8e31b9f24e85ad1f5,.\.git\objects\29,163
file,d81e2b19a53e139a5cf563db346642d3d11f38,.\.git\objects\2b,1946
file,8c35564675cb108ee837062e59a4dcc385cc88,.\.git\objects\2c,1223
file,eacd1a07c04a32e2196861856a416fa7813cf7,.\.git\objects\2e,1201
file,509555b04067c3bee2952f4314ee1c08c94cde,.\.git\objects\2f,869
file,b136f5332bacdfebfbe2efef13004d69de577c,.\.git\objects\2f,1418
file,28277fd87b36e615daba76fba714efa6256739,.\.git\objects\30,445
file,48ad33cc14c527a8ea4f60e23e522575451db7,.\.git\objects\30,2972
file,5b4824de1699baf5f5823c3ea73c00d307cdfb,.\.git\objects\30,167
file,6271bbf6d6030dad9dc5607d893f00655374a2,.\.git\objects\30,2270
file,db4ed857dbda189c53899d9811e56981bdefc3,.\.git\objects\31,357
file,753a4d0d80d46d7905aa2734b1441bd22d3d54,.\.git\objects\32,254
file,c53ff7555d35ed0b07721c22a83289fca45894,.\.git\objects\32,3802
file,3fbafcc1bed643a074a92b682cec26bd476889,.\.git\objects\33,209
file,a1cd43d2cdd029cd1500585dec13d500807dcf,.\.git\objects\33,375
file,7e3c9d91ccba86cc537fd8bb69fbe3e289ed03,.\.git\objects\34,177
file,f84345b09bf85ed7f23b080e2077737794ede0,.\.git\objects\34,307
file,307548f2633856ba99ff725a22dbb89e90d82e,.\.git\objects\35,435
file,aa7c93a7d5b8f49ddbd7aa8cee7b5403679a2a,.\.git\objects\36,412
file,efc6d35334264ef10d6b9e725eccb296e5f1cb,.\.git\objects\36,668
file,add4c335fa8049d69b004f190f51a6ce384b98,.\.git\objects\37,242
file,0076cf6a03315c9e362f090b481a3f35e36cd5,.\.git\objects\3b,203
file,409268b8977099a88c309375038900f0f7ee92,.\.git\objects\3c,1665
file,0d56de261cf1d6adece84ccb56d7c27516a00c,.\.git\objects\3d,1332
file,d28d531cc8be81f6ae42f27c891c9270c14a40,.\.git\objects\3d,1317
file,cba67cf4ffa1d7bc3596e36ddc311fbfae3e73,.\.git\objects\3e,363
file,09f2db93515b7ca2b4c985c2061d7a9fffe0f8,.\.git\objects\3f,2638
file,f37d119e3802da183762c7dcaa242927098ea7,.\.git\objects\3f,843
file,edaa9cad20b6417f02cfd787598c0a245e48ba,.\.git\objects\40,228
file,3bb14f40a314a649da6d42c446d64444652638,.\.git\objects\41,2321
file,7037a07859a3b59cf6b7c3ec16c77e7e815c45,.\.git\objects\44,280
file,cb38e5d097902ec0808e5f0dfc0be3bf3cbe71,.\.git\objects\44,168
file,610fc77fc61f6c1ce6d2740541d31954a0c24a,.\.git\objects\45,56
file,eb413ce0f02435973822240c84057adac9e5d2,.\.git\objects\46,383
file,65d2ab6f091c312ebaaee0039b16e3b3c29930,.\.git\objects\47,203
file,ed1635285933e0be418352b9a74a87aea29b1b,.\.git\objects\47,166
file,e28044f61c646b4bae0ef60ea6c8f88070b470,.\.git\objects\4a,739
file,c07ade9140b4104d53d7c8789450bd1aacb4e6,.\.git\objects\4b,2720
file,c2b81d972d699140870e1540c949a95bba97da,.\.git\objects\4c,1018
file,c4a6b3a226ca75723e54ed505c640b759b909e,.\.git\objects\4c,477
file,d0774e09915cda5f126382da2397bc5c24e98a,.\.git\objects\4c,1743
file,1d25103a6ac9d5c9f48f64476d4d7583c31eb0,.\.git\objects\4d,762
file,424162412b80f8bcea3fac54fea94846f40af6,.\.git\objects\4d,1239
file,eef202ecefbcf2406cc6629acd16afa938d34a,.\.git\objects\4e,2074
file,7c6cafe7f0e624f69be56f9bb2616cdbf9bb30,.\.git\objects\51,2563
file,6ad55e262e869915dc5b9268e6daed2936e692,.\.git\objects\52,188
file,d56c3421f69fb5abf0e6f1747c1e8874997257,.\.git\objects\52,3377
file,06decb8aefc4e802157cc87a322e8d7aec067d,.\.git\objects\53,1201
file,2407c20679ccb7e6325011d71fa7f298e9155b,.\.git\objects\53,337
file,4ca40888540ee3771604df86db9dbdf942398e,.\.git\objects\56,202
file,b649bb401011080761a261ebf7154511501301,.\.git\objects\56,2048
file,b8f6e5ba51e018b0c177862f1fb1e51c3838c4,.\.git\objects\56,4722
file,95b9c3f50e4beff5182f9ce1070db1bcc55213,.\.git\objects\5b,751
file,95c637df8e019ce7b1060e84ac9c5f17474c03,.\.git\objects\5b,2029
file,6cacdb0702c3775dd265063b06e77643d3efbe,.\.git\objects\5d,420
file,3cbb2e2b93b0c4ecd85c9eee11fd5b7d44e62b,.\.git\objects\5e,406
file,f22187a4295a3cffd8d10e953a26937c44e65e,.\.git\objects\5e,486
file,25d96f0de474c7f9eed760bf1075a7d200b23b,.\.git\objects\5f,1432
file,95eb97716f0ef110fcbf9f8d845fe875c8062f,.\.git\objects\5f,169
file,792707c21f9b4b4475460dadd1b98ac175e76e,.\.git\objects\60,167
file,3ec5aa22f71dbd015493fba544e65a1f2ccfdb,.\.git\objects\61,520
file,dc9bb70bb6034ea40ff7ef1c2b91c03437833b,.\.git\objects\62,139
file,c1ab7d17ac864a20a3d1983912ece66f8ade83,.\.git\objects\64,862
file,f5a141452abbddf45259015042ed0e128d5e6d,.\.git\objects\64,2313
file,f9ac36c8a07befea2eac367a0bf135092f946e,.\.git\objects\67,167
file,146d548566245a97cb845e9a197314873694e6,.\.git\objects\69,98
file,bcc05eff87778e030cf82cc3aa57fb4f8b456e,.\.git\objects\69,233
file,0623ec486738552dba6b6e50095fe659d4cd8b,.\.git\objects\6b,165
file,f35f701544082784f0dbec0a3b952581fe1d8c,.\.git\objects\6b,875
file,53e0b0f94448b998bad6463049694c58a35823,.\.git\objects\6c,174
file,1de347e5d3a8af631d5d49afff42042343375a,.\.git\objects\6d,384
file,4f301db1edf5222a3223754263f6f8a7740664,.\.git\objects\6d,500
file,67626b8d6c452be27ecebf6025a8b2371e96e7,.\.git\objects\6e,168
file,66a6781f8ce0c95348599dc862b52444851491,.\.git\objects\6f,632
file,a80110973a7817cca882a37f9fd97d01732de0,.\.git\objects\70,1533
file,15c046917339696d7e5f7861d9ab032ed72e42,.\.git\objects\71,558
file,94771452d4e26fe9961d2640c840347796fb4f,.\.git\objects\72,4117
file,f34f9405c90c99951f94143743b3ca4b881e0f,.\.git\objects\73,1824
file,38ff9ffaf098a851825aab2518297cd77fe092,.\.git\objects\74,202
file,508f405dc1c3ea9cceec2611284a7f1065f66c,.\.git\objects\75,1540
file,85b151f79300fda491c0cd765dfc1e8b009464,.\.git\objects\77,203
file,e964cb44b1590f3f31707279153f996483f16c,.\.git\objects\77,781
file,6047730a051cf66c75c619ed9ab7f69db25ea3,.\.git\objects\78,2521
file,c42aac414ea0ee0de8ba11cbc5a0da6c53b99a,.\.git\objects\78,272
file,a16e801fa376f177b44fdd17388e7f4ce00d5b,.\.git\objects\79,188
file,71b371426137e9cac2f6405d57417bf063a7f5,.\.git\objects\7a,202
file,b2d500efd1ea925ca83563aaed0bc1983444e1,.\.git\objects\7c,1041
file,3b9d75e6fd4c07b5950dd7a8ee6d0ad41e79c6,.\.git\objects\7d,1201
file,04a3dbb990ead80c51458c576102e6106f857c,.\.git\objects\7e,2107
file,c07568ed535e92da56fcdce71a1f5db33cf249,.\.git\objects\7e,168
file,57bfa8dbcd9a1071131789a333bd1c3afd0d86,.\.git\objects\7f,195
file,37d293580e70ec14c46450e50828385822137f,.\.git\objects\80,163
file,660c7da2f5acf97f87af7a97fea67fb683a714,.\.git\objects\80,909
file,f1623a38daf7328a39bf41b5623443d5aa08f4,.\.git\objects\80,635
file,3cd7019ddf18c394ae89368728525c6d7b5d1d,.\.git\objects\81,1353
file,0f7af6e65d6a2c0f9be8d1b16c6b8dc960c630,.\.git\objects\82,170
file,3d3c0863fc3e87193d57b0277849d5489ab1b2,.\.git\objects\85,1350
file,3321297a76a49fe93c41d3629ab0bf195122ce,.\.git\objects\86,1082
file,ddc3ac1865cf6f4179bf7587c7cbe9a5862227,.\.git\objects\86,468
file,034d8390c6ec883c6848b738300e609b6a8b1b,.\.git\objects\87,1874
file,bc2117159b07775cfe29c51e2bb60a252cbfd7,.\.git\objects\88,165
file,8992d24fe5bccc3e22cbc5a566a26e6e2814b8,.\.git\objects\89,1142
file,b0ea1e127bab1cfeff61a19f75838cb7970c33,.\.git\objects\89,5349
file,1ffd5ca48f610495a8aef306e65a7b38387020,.\.git\objects\8a,168
file,26a2f44f3a135f2eda942d2aed98cb7ceaf878,.\.git\objects\8a,1451
file,94c8dda6e420423b2777c97186c670b7520816,.\.git\objects\8a,1454
file,e1182ccf50b688c7b55d6b503ff820256ff327,.\.git\objects\8a,486
file,ffbdf08e7a40b9c54234ad720fd584f4b7f128,.\.git\objects\8a,2047
file,4c1b0277c4dfc7d45e13ca1f66db447828fa5a,.\.git\objects\8b,537
file,8d27f16883c553c442d8b20d6cf7bf4f95bf37,.\.git\objects\8b,2198
file,0006b551d021eefb8c7de56c1a9aa42644285b,.\.git\objects\8c,757
file,d1e1adfc6f462219486935ef5e26d4bfdcf695,.\.git\objects\8e,169
file,df0eb32a1b03d0b496cb5cd4bf0fc85e178a35,.\.git\objects\8f,1100
file,13eeec80659f3ca0153e527a3536aa392aec4c,.\.git\objects\90,660
file,edb5247eeac4ec30f765ad2fbe0be05fb1e2af,.\.git\objects\92,2399
file,268aad06aee3c9b4adb132dc61e1390386ce57,.\.git\objects\93,104
file,b9496db936bd0e9ce27a44c9d1c8a95134bebd,.\.git\objects\93,334
file,09eb635ea0e6720e9fe21f2114235781a5305a,.\.git\objects\95,2196
file,e5078fda600c87812f864a887014f813ea20f1,.\.git\objects\96,196
file,6565e9087904017c312a2ffda171343c35f958,.\.git\objects\97,169
file,eac10b2f16bacd5d08f8d7f28ffd8693e01004,.\.git\objects\98,1708
file,651dbef3e08fbbf0640310433ae911122fc9df,.\.git\objects\99,851
file,77bfe2285a1b082b04ae43fb9fd325770dbaac,.\.git\objects\99,598
file,81b62ad4a7fcb282946ac38ee94daaa130d052,.\.git\objects\99,2377
file,8fad630f99e11f286382dc553d323a3fd8db51,.\.git\objects\9a,1298
file,baa5975d50c7f6039fb4f112a568ed38fc30af,.\.git\objects\9a,3805
file,54aba7fdae586b77ead33d1a9009343218a6d3,.\.git\objects\9b,253
file,a331174337b72a728084ad9a7671715826e4fa,.\.git\objects\9b,1709
file,6578625ce774750fc4dec1f742fc3199f2fc67,.\.git\objects\9f,1704
file,eb4ade24b362464cf8a42a4fbdfbf3c926b6ff,.\.git\objects\9f,1090
file,fa6e05c5e5b266675119b2c7547e964f4acba1,.\.git\objects\9f,996
file,4f2cad60a1154193351c3bc9d2d33354474b7a,.\.git\objects\a0,332
file,283c7b353d1490c5309ee28d391177b80eb219,.\.git\objects\a1,2565
file,9fb486d29cee36ffaa6a50b783d573ee90f1d3,.\.git\objects\a2,3570
file,c947aeff6e3bdfcbefbe0fa9cf3ba04c1b3bb8,.\.git\objects\a2,1624
file,fa9a39176378b1f67c8f547d34e41fdbe6e58c,.\.git\objects\a3,165
file,e912ed7a87565f08145c12b336d1f7de0841ef,.\.git\objects\a5,559
file,9e11353be5444231a039bb5fedbea67ad741c8,.\.git\objects\a7,200
file,38ae1b04c526d453c67a1f1453981f0ac0d910,.\.git\objects\a8,1378
file,e52bf1c57c61706ac890904e724d16c3c4688a,.\.git\objects\a9,1379
file,882a90bd9e4b50cde1a6661a3d9caf91e649da,.\.git\objects\ab,296
file,36478e1469b37c5d412076294b04becee07a78,.\.git\objects\ac,111
file,23cf851993cb2ff845b13cc012bd67d793c322,.\.git\objects\ad,86
file,3aea88d956da3022fd876318e8d97c3c1bc435,.\.git\objects\ad,1069
file,c4beda2666cee9a019b95e7cc8ab2cd9fedfef,.\.git\objects\ad,167
file,4a8a464e8ac20f4e1bf5177f82b59865aff9cd,.\.git\objects\ae,1771
file,57f76d7bd8c4ec57bae252133fa40a4498b314,.\.git\objects\ae,2084
file,820b55712e176a2112f68b64d153f90a9aa478,.\.git\objects\ae,841
file,3a51bd8dc37142d9b35fc29fc97b178545bab9,.\.git\objects\b0,5436
file,c15a1549a9537426838a4ad1bead3c3456ca2c,.\.git\objects\b0,165
file,019c8cc3c5428148e053a1f54dab82b7834ed0,.\.git\objects\b1,74
file,1a60fed97c82f2654d61ebfa430ea8a0e7e3de,.\.git\objects\b3,175
file,16c44121258a9bd9af0382ef403c3b9895deda,.\.git\objects\b5,593
file,acf42fab26bc1c40cf380165d10922a2283ad6,.\.git\objects\b5,250
file,da0712cef8a22f17135e25d297ca7180c19c5f,.\.git\objects\b5,2890
file,65a85f794e74272e76fa142832d5dba800c98b,.\.git\objects\b7,2199
file,535f4598c81fc518d24ce762f2965901ca0829,.\.git\objects\b9,983
file,f6f70c7eb658e036f2710466c9d0c7999979c1,.\.git\objects\b9,2337
file,608fd4122183bdf138a22c96671b9a574361ba,.\.git\objects\ba,2234
